メーカー,型番,ピン数
JST,GHR-02V-S,2
JST,GHR-03V-S,3
JST,GHR-04V-S,4
JST,GHR-05V-S,5
JST,GHR-06V-S,6
JST,GHR-07V-S,7
JST,GHR-08V-S,8
JST,GHR-09V-S,9
JST,GHR-10V-S,10
JST,GHR-11V-S,11
JST,GHR-12V-S,12
JST,GHR-13V-S,13
JST,GHR-14V-S,14
JST,GHR-15V-S,15
JST,BM02B-GHS-TBT(LF)(SN),2
JST,BM03B-GHS-TBT(LF)(SN),3
JST,BM04B-GHS-TBT(LF)(SN),4
JST,BM05B-GHS-TBT(LF)(SN),5
JST,BM06B-GHS-TBT(LF)(SN),6
JST,BM07B-GHS-TBT(LF)(SN),7
JST,BM08B-GHS-TBT(LF)(SN),8
JST,BM09B-GHS-TBT(LF)(SN),9
JST,BM10B-GHS-TBT(LF)(SN),10
JST,BM11B-GHS-TBT(LF)(SN),11
JST,BM12B-GHS-TBT(LF)(SN),12
JST,BM13B-GHS-TBT(LF)(SN),13
JST,BM14B-GHS-TBT(LF)(SN),14
JST,BM15B-GHS-TBT(LF)(SN),15
JST,SM02B-GHS-TB(LF)(SN),2
JST,SM03B-GHS-TB(LF)(SN),3
JST,SM04B-GHS-TB(LF)(SN),4
JST,SM05B-GHS-TB(LF)(SN),5
JST,SM06B-GHS-TB(LF)(SN),6
JST,SM07B-GHS-TB(LF)(SN),7
JST,SM08B-GHS-TB(LF)(SN),8
JST,SM09B-GHS-TB(LF)(SN),9
JST,SM10B-GHS-TB(LF)(SN),10
JST,SM11B-GHS-TB(LF)(SN),11
JST,SM12B-GHS-TB(LF)(SN),12
JST,SM13B-GHS-TB(LF)(SN),13
JST,SM14B-GHS-TB(LF)(SN),14
JST,SM15B-GHS-TB(LF)(SN),15
JST,SGH-001T-P0.2,-
