メーカー,型番,ピン数
JST,H2P-SHF-AA,2
JST,H3P-SHF-AA,3
JST,H4P-SHF-AA,4
JST,H5P-SHF-AA,5
JST,H6P-SHF-AA,6
JST,H7P-SHF-AA,7
JST,H8P-SHF-AA,8
JST,H9P-SHF-AA,9
JST,H10P-SHF-AA,10
JST,H11P-SHF-AA,11
JST,H12P-SHF-AA,12
JST,H13P-SHF-AA,13
JST,H14P-SHF-AA,14
JST,H15P-SHF-AA,15
JST,H16P-SHF-AA,16
JST,H18P-SHF-AA,18
JST,H20P-SHF-AA,20
JST,H21P-SHF-AA,21
JST,H22P-SHF-AA,22
JST,H24P-SHF-AA,24
JST,H25P-SHF-AA,25
JST,B2P-SHF-1AA(LF)(SN),2
JST,B3P-SHF-1AA(LF)(SN),3
JST,B4P-SHF-1AA(LF)(SN),4
JST,B5P-SHF-1AA(LF)(SN),5
JST,B6P-SHF-1AA(LF)(SN),6
JST,B7P-SHF-1AA(LF)(SN),7
JST,B8P-SHF-1AA(LF)(SN),8
JST,B9P-SHF-1AA(LF)(SN),9
JST,B10P-SHF-1AA(LF)(SN),10
JST,B11P-SHF-1AA(LF)(SN),11
JST,B12P-SHF-1AA(LF)(SN),12
JST,B13P-SHF-1AA(LF)(SN),13
JST,B14P-SHF-1AA(LF)(SN),14
JST,B15P-SHF-1AA(LF)(SN),15
JST,B16P-SHF-1AA(LF)(SN),16
JST,B17P-SHF-1AA(LF)(SN),17
JST,B18P-SHF-1AA(LF)(SN),18
JST,B20P-SHF-1AA(LF)(SN),20
JST,B21P-SHF-1AA(LF)(SN),21
JST,B22P-SHF-1AA(LF)(SN),22
JST,B24P-SHF-1AA(LF)(SN),24
JST,B25P-SHF-1AA(LF)(SN),25
JST,BS2P-SHF-1AA(LF)(SN),2
JST,BS3P-SHF-1AA(LF)(SN),3
JST,BS4P-SHF-1AA(LF)(SN),4
JST,BS5P-SHF-1AA(LF)(SN),5
JST,BS6P-SHF-1AA(LF)(SN),6
JST,BS7P-SHF-1AA(LF)(SN),7
JST,BS8P-SHF-1AA(LF)(SN),8
JST,BS9P-SHF-1AA(LF)(SN),9
JST,BS10P-SHF-1AA(LF)(SN),10
JST,BS11P-SHF-1AA(LF)(SN),11
JST,BS12P-SHF-1AA(LF)(SN),12
JST,BS13P-SHF-1AA(LF)(SN),13
JST,BS14P-SHF-1AA(LF)(SN),14
JST,BS15P-SHF-1AA(LF)(SN),15
JST,BS16P-SHF-1AA(LF)(SN),16
JST,BS17P-SHF-1AA(LF)(SN),17
JST,BS18P-SHF-1AA(LF)(SN),18
JST,BS20P-SHF-1AA(LF)(SN),20
JST,BS21P-SHF-1AA(LF)(SN),21
JST,BS22P-SHF-1AA(LF)(SN),22
JST,BS24P-SHF-1AA(LF)(SN),24
JST,BS25P-SHF-1AA(LF)(SN),25
JST,BHF-001T-0.8BS,-
