メーカー,型番,ピン数
JST,PAP-02V-S,2
JST,PAP-03V-S,3
JST,PAP-04V-S,4
JST,PAP-05V-S,5
JST,PAP-06V-S,6
JST,PAP-07V-S,7
JST,PAP-08V-S,8
JST,PAP-09V-S,9
JST,PAP-10V-S,10
JST,PAP-11V-S,11
JST,PAP-12V-S,12
JST,PAP-13V-S,13
JST,PAP-14V-S,14
JST,PAP-15V-S,15
JST,PAP-16V-S,16
JST,B02B-PASK(LF)(SN),2
JST,B03B-PASK(LF)(SN),3
JST,B04B-PASK(LF)(SN),4
JST,B05B-PASK(LF)(SN),5
JST,B06B-PASK(LF)(SN),6
JST,B07B-PASK(LF)(SN),7
JST,B08B-PASK(LF)(SN),8
JST,B09B-PASK(LF)(SN),9
JST,B10B-PASK(LF)(SN),10
JST,B11B-PASK(LF)(SN),11
JST,B12B-PASK(LF)(SN),12
JST,B13B-PASK(LF)(SN),13
JST,B14B-PASK(LF)(SN),14
JST,B15B-PASK(LF)(SN),15
JST,B16B-PASK(LF)(SN),16
JST,B02B-PASK-1(LF)(SN),2
JST,B03B-PASK-1(LF)(SN),3
JST,B04B-PASK-1(LF)(SN),4
JST,B05B-PASK-1(LF)(SN),5
JST,B06B-PASK-1(LF)(SN),6
JST,B07B-PASK-1(LF)(SN),7
JST,B08B-PASK-1(LF)(SN),8
JST,B09B-PASK-1(LF)(SN),9
JST,B10B-PASK-1(LF)(SN),10
JST,B11B-PASK-1(LF)(SN),11
JST,B12B-PASK-1(LF)(SN),12
JST,B13B-PASK-1(LF)(SN),13
JST,B14B-PASK-1(LF)(SN),14
JST,B15B-PASK-1(LF)(SN),15
JST,B16B-PASK-1(LF)(SN),16
JST,SPA-001T-P0.5,-
JST,SPAL-001T-P0.5,-
