メーカー,型番,ピン数
JST,PHR-2,2
JST,PHR-3,3
JST,PHR-4,4
JST,PHR-5,5
JST,PHR-6,6
JST,PHR-7,7
JST,PHR-8,8
JST,PHR-9,9
JST,PHR-10,10
JST,PHR-11,11
JST,PHR-12,12
JST,PHR-13,13
JST,PHR-14,14
JST,PHR-15,15
JST,PHR-16,16
JST,B2B-PH-K-S(LF)(SN),2
JST,B3B-PH-K-S(LF)(SN),3
JST,B4B-PH-K-S(LF)(SN),4
JST,B5B-PH-K-S(LF)(SN),5
JST,B6B-PH-K-S(LF)(SN),6
JST,B7B-PH-K-S(LF)(SN),7
JST,B8B-PH-K-S(LF)(SN),8
JST,B9B-PH-K-S(LF)(SN),9
JST,B10B-PH-K-S(LF)(SN),10
JST,B11B-PH-K-S(LF)(SN),11
JST,B12B-PH-K-S(LF)(SN),12
JST,B13B-PH-K-S(LF)(SN),13
JST,B14B-PH-K-S(LF)(SN),14
JST,B15B-PH-K-S(LF)(SN),15
JST,B16B-PH-K-S(LF)(SN),16
JST,S2B-PH-K-S(LF)(SN),2
JST,S3B-PH-K-S(LF)(SN),3
JST,S4B-PH-K-S(LF)(SN),4
JST,S5B-PH-K-S(LF)(SN),5
JST,S6B-PH-K-S(LF)(SN),6
JST,S7B-PH-K-S(LF)(SN),7
JST,S8B-PH-K-S(LF)(SN),8
JST,S9B-PH-K-S(LF)(SN),9
JST,S10B-PH-K-S(LF)(SN),10
JST,S11B-PH-K-S(LF)(SN),11
JST,S12B-PH-K-S(LF)(SN),12
JST,S13B-PH-K-S(LF)(SN),13
JST,S14B-PH-K-S(LF)(SN),14
JST,S15B-PH-K-S(LF)(SN),15
JST,S16B-PH-K-S(LF)(SN),16
JST,SPH-002T-P0.5S,-
