メーカー,型番,ピン数
JST,VHR-2N,2
JST,VHR-3N,3
JST,VHR-4N,4
JST,VHR-5N,5
JST,VHR-6N,6
JST,VHR-7N,7
JST,VHR-8N,8
JST,VHR-9N,9
JST,VHR-10N,10
JST,B2P-VH(LF)(SN),2
JST,B3P-VH(LF)(SN),3
JST,B4P-VH(LF)(SN),4
JST,B5P-VH(LF)(SN),5
JST,B6P-VH(LF)(SN),6
JST,B7P-VH(LF)(SN),7
JST,B8P-VH(LF)(SN),8
JST,B9P-VH(LF)(SN),9
JST,B10P-VH(LF)(SN),10
JST,B2PS-VH(LF)(SN),2
JST,B3PS-VH(LF)(SN),3
JST,B4PS-VH(LF)(SN),4
JST,B5PS-VH(LF)(SN),5
JST,B6PS-VH(LF)(SN),6
JST,B7PS-VH(LF)(SN),7
JST,B8PS-VH(LF)(SN),8
JST,B9PS-VH(LF)(SN),9
JST,B10PS-VH(LF)(SN),10
JST,SVH-21T-P1.1,-
