メーカー,型番,ピン数
JST,XADRP-08V,8
JST,XADRP-10V,10
JST,XADRP-12V,12
JST,XADRP-14V,14
JST,XADRP-16V,16
JST,XADRP-18V,18
JST,XADRP-20V,20
JST,XADRP-22V,22
JST,XADRP-24V,24
JST,XADRP-26V,26
JST,XADRP-28V,28
JST,XADRP-30V,30
JST,XADRP-32V,32
JST,XADRP-34V,34
JST,XADRP-36V,36
JST,XADRP-38V,38
JST,XADRP-40V,40
JST,XADR-08V,8
JST,XADR-10V,10
JST,XADR-12V,12
JST,XADR-14V,14
JST,XADR-16V,16
JST,XADR-18V,18
JST,XADR-20V,20
JST,XADR-22V,22
JST,XADR-24V,24
JST,XADR-26V,26
JST,XADR-28V,28
JST,XADR-30V,30
JST,XADR-32V,32
JST,XADR-34V,34
JST,XADR-36V,36
JST,XADR-38V,38
JST,XADR-40V,40
JST,B08B-XADSS-N(LF)(SN),8
JST,B10B-XADSS-N(LF)(SN),10
JST,B12B-XADSS-N(LF)(SN),12
JST,B14B-XADSS-N(LF)(SN),14
JST,B16B-XADSS-N(LF)(SN),16
JST,B18B-XADSS-N(LF)(SN),18
JST,B20B-XADSS-N(LF)(SN),20
JST,B22B-XADSS-N(LF)(SN),22
JST,B24B-XADSS-N(LF)(SN),24
JST,B26B-XADSS-N(LF)(SN),26
JST,B28B-XADSS-N(LF)(SN),28
JST,B30B-XADSS-N(LF)(SN),30
JST,B32B-XADSS-N(LF)(SN),32
JST,B34B-XADSS-N(LF)(SN),34
JST,B36B-XADSS-N(LF)(SN),36
JST,B38B-XADSS-N(LF)(SN),38
JST,B40B-XADSS-N(LF)(SN),40
JST,B08B-XADSS-N-A(LF)(SN),8
JST,B10B-XADSS-N-A(LF)(SN),10
JST,B12B-XADSS-N-A(LF)(SN),12
JST,B14B-XADSS-N-A(LF)(SN),14
JST,B16B-XADSS-N-A(LF)(SN),16
JST,B18B-XADSS-N-A(LF)(SN),18
JST,B20B-XADSS-N-A(LF)(SN),20
JST,S08B-XADSS-N(LF)(SN),8
JST,S10B-XADSS-N(LF)(SN),10
JST,S12B-XADSS-N(LF)(SN),12
JST,S14B-XADSS-N(LF)(SN),14
JST,S16B-XADSS-N(LF)(SN),16
JST,S18B-XADSS-N(LF)(SN),18
JST,S20B-XADSS-N(LF)(SN),20
JST,SXA-001T-P0.6,-
