メーカー,型番,ピン数
JST,XHP-2,2
JST,XHP-3,3
JST,XHP-4,4
JST,XHP-5,5
JST,XHP-6,6
JST,XHP-7,7
JST,XHP-8,8
JST,XHP-9,9
JST,XHP-10,10
JST,XHP-11,11
JST,XHP-12,12
JST,XHP-13,13
JST,XHP-14,14
JST,XHP-15,15
JST,XHP-20,20
JST,B2B-XH-A(LF)(SN),2
JST,B3B-XH-A(LF)(SN),3
JST,B4B-XH-A(LF)(SN),4
JST,B5B-XH-A(LF)(SN),5
JST,B6B-XH-A(LF)(SN),6
JST,B7B-XH-A(LF)(SN),7
JST,B8B-XH-A(LF)(SN),8
JST,B9B-XH-A(LF)(SN),9
JST,B10B-XH-A(LF)(SN),10
JST,B11B-XH-A(LF)(SN),11
JST,B12B-XH-A(LF)(SN),12
JST,B13B-XH-A(LF)(SN),13
JST,B14B-XH-A(LF)(SN),14
JST,B15B-XH-A(LF)(SN),15
JST,B20B-XH-A(LF)(SN),20
JST,S2B-XH-A(LF)(SN),2
JST,S3B-XH-A(LF)(SN),3
JST,S4B-XH-A(LF)(SN),4
JST,S5B-XH-A(LF)(SN),5
JST,S6B-XH-A(LF)(SN),6
JST,S7B-XH-A(LF)(SN),7
JST,S8B-XH-A(LF)(SN),8
JST,S9B-XH-A(LF)(SN),9
JST,S10B-XH-A(LF)(SN),10
JST,S11B-XH-A(LF)(SN),11
JST,S12B-XH-A(LF)(SN),12
JST,S13B-XH-A(LF)(SN),13
JST,S14B-XH-A(LF)(SN),14
JST,S15B-XH-A(LF)(SN),15
JST,SXH-001T-P0.6,-
