メーカー,型番,ピン数
Molex,43645-0200,2
Molex,43645-0300,3
Molex,43645-0400,4
Molex,43645-0500,5
Molex,43645-0600,6
Molex,43645-0700,7
Molex,43645-0800,8
Molex,43645-0900,9
Molex,43645-1000,10
Molex,43645-1100,11
Molex,43645-1200,12
Molex,43025-0400,4
Molex,43025-0600,6
Molex,43025-0800,8
Molex,43025-1000,10
Molex,43025-1200,12
Molex,43025-1400,14
Molex,43025-1600,16
Molex,43025-1800,18
Molex,43025-2000,20
Molex,43025-2200,22
Molex,43025-2400,24
Molex,43020-0400,4
Molex,43020-0600,6
Molex,43020-0800,8
Molex,43020-1000,10
Molex,43020-1200,12
Molex,43020-1400,14
Molex,43020-1600,16
Molex,43020-1800,18
Molex,43020-2000,20
Molex,43020-2200,22
Molex,43020-2400,24
Molex,43650-0200,2
Molex,43650-0300,3
Molex,43650-0400,4
Molex,43650-0500,5
Molex,43650-0600,6
Molex,43650-0700,7
Molex,43650-0800,8
Molex,43650-0900,9
Molex,43650-1000,10
Molex,43650-1100,11
Molex,43650-1200,12
Molex,43045-0400,4
Molex,43045-0600,6
Molex,43045-0800,8
Molex,43045-1000,10
Molex,43045-1200,12
Molex,43045-1400,14
Molex,43045-1600,16
Molex,43045-1800,18
Molex,43045-2000,20
Molex,43045-2200,22
Molex,43045-2400,24
Molex,43030-0001,-
Molex,43031-0001,-
