メーカー,型番,ピン数
Molex,39012-0200,2
Molex,39012-0400,4
Molex,39012-0600,6
Molex,39012-0800,8
Molex,39012-1000,10
Molex,39012-1200,12
Molex,39012-1400,14
Molex,39012-1600,16
Molex,39012-1800,18
Molex,39012-2000,20
Molex,39012-2200,22
Molex,39012-2400,24
Molex,39013-0200,2
Molex,39013-0400,4
Molex,39013-0600,6
Molex,39013-0800,8
Molex,39013-1000,10
Molex,39013-1200,12
Molex,39013-1400,14
Molex,39013-1600,16
Molex,39013-1800,18
Molex,39013-2000,20
Molex,39013-2200,22
Molex,39013-2400,24
Molex,5566-02A,2
Molex,5566-04A,4
Molex,5566-06A,6
Molex,5566-08A,8
Molex,5566-10A,10
Molex,5566-12A,12
Molex,5566-14A,14
Molex,5566-16A,16
Molex,5566-18A,18
Molex,5566-20A,20
Molex,5566-22A,22
Molex,5566-24A,24
Molex,5569-02A2,2
Molex,5569-04A2,4
Molex,5569-06A2,6
Molex,5569-08A2,8
Molex,5569-10A2,10
Molex,5569-12A2,12
Molex,5556T,-
Molex,5558T,-
